Time,H Pop,Curr Win %,LS Win %,Last Game,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
2004-01-02 19:00:00,3.0,0.3333333333333333,0.4657534246575342,13897.0,20173.0,Washington Wizards,Golden State Warriors,0.0,1.0,Friday,January,12466.0
2004-01-02 19:30:00,9.0,0.6896551724137931,0.5569620253164557,18624.0,18624.0,Boston Celtics,Indiana Pacers,0.0,4.0,Friday,January,18624.0
2004-01-02 19:30:00,2.0,0.27586206896551724,0.3380281690140845,16500.0,20213.0,Miami Heat,Orlando Magic,0.0,1.0,Friday,January,15864.0
2004-01-02 20:00:00,2.0,0.7142857142857143,0.625,20092.0,20391.0,Minnesota Timberwolves,Atlanta Hawks,0.0,4.0,Friday,January,17074.0
2004-01-02 22:00:00,2.0,0.4814814814814815,0.5802469135802469,17237.0,20630.0,Portland Trail Blazers,Denver Nuggets,0.0,2.0,Friday,January,17316.0
2004-01-03 13:30:00,4.0,0.6451612903225806,0.7173913043478259,18797.0,19034.0,San Antonio Spurs,Philadelphia 76ers,0.0,4.0,Saturday,January,18797.0
2004-01-03 16:00:00,1.0,0.7142857142857143,0.5945945945945946,14350.0,19668.0,Los Angeles Clippers,Sacramento Kings,0.0,3.0,Saturday,January,18252.0
2004-01-03 20:30:00,17.0,0.3103448275862069,0.5833333333333334,20472.0,23067.0,Chicago Bulls,Boston Celtics,0.0,2.0,Saturday,January,22315.0
2004-01-03 20:30:00,5.0,0.6896551724137931,0.7173913043478259,20095.0,20677.0,Dallas Mavericks,Minnesota Timberwolves,0.0,3.0,Saturday,January,19936.0
2004-01-03 20:30:00,8.0,0.5172413793103449,0.527027027027027,17067.0,18226.0,Houston Rockets,Utah Jazz,0.0,2.0,Saturday,January,15482.0
2004-01-03 22:00:00,4.0,0.5806451612903226,0.527027027027027,19099.0,19812.0,Denver Nuggets,Atlanta Hawks,0.0,2.0,Saturday,January,17230.0
2004-01-04 13:00:00,5.0,0.5,0.3333333333333333,19800.0,20116.0,Toronto Raptors,Phoenix Suns,0.0,3.0,Sunday,January,19029.0
2004-01-04 14:00:00,3.0,0.32142857142857145,0.4657534246575342,12466.0,20173.0,Washington Wizards,Milwaukee Bucks,0.0,1.0,Sunday,January,12073.0
2004-01-04 21:30:00,1.0,0.75,0.5945945945945946,18252.0,19668.0,Los Angeles Clippers,Los Angeles Lakers,0.0,2.0,Sunday,January,19653.0
2004-01-05 19:00:00,8.0,0.4545454545454545,0.569620253164557,18827.0,20965.0,Philadelphia 76ers,Milwaukee Bucks,0.0,1.0,Monday,January,18337.0
2004-01-05 19:00:00,9.0,0.6666666666666666,0.5569620253164557,18624.0,18624.0,Boston Celtics,Detroit Pistons,0.0,5.0,Monday,January,13015.0
2004-01-05 19:30:00,2.0,0.375,0.3380281690140845,15864.0,20213.0,Miami Heat,Indiana Pacers,0.0,2.0,Monday,January,14453.0
2004-01-05 20:30:00,17.0,0.3548387096774194,0.5833333333333334,22315.0,23067.0,Chicago Bulls,Phoenix Suns,0.0,2.0,Monday,January,16720.0
2004-01-05 20:30:00,8.0,0.5862068965517241,0.527027027027027,15482.0,18226.0,Houston Rockets,Golden State Warriors,0.0,4.0,Monday,January,9956.0
2004-01-05 21:00:00,4.0,0.5333333333333333,0.5569620253164557,19911.0,19911.0,Utah Jazz,Dallas Mavericks,0.0,2.0,Monday,January,19911.0
2004-01-05 21:00:00,4.0,0.65625,0.527027027027027,17230.0,19812.0,Denver Nuggets,San Antonio Spurs,0.0,4.0,Monday,January,15120.0
2004-01-06 19:00:00,2.0,0.40625,0.3333333333333333,18648.0,20562.0,Cleveland Cavaliers,New York Knicks,0.0,3.0,Tuesday,January,15277.0
2004-01-06 19:00:00,4.0,0.25806451612903225,0.5569620253164557,18345.0,18345.0,Indiana Pacers,Orlando Magic,0.0,0.0,Tuesday,January,15753.0
2004-01-06 20:00:00,2.0,0.7,0.625,17074.0,20391.0,Minnesota Timberwolves,Los Angeles Lakers,0.0,3.0,Tuesday,January,20095.0
2004-01-06 20:30:00,4.0,0.3103448275862069,0.7173913043478259,18797.0,19034.0,San Antonio Spurs,Washington Wizards,0.0,1.0,Tuesday,January,16413.0
2004-01-07 19:00:00,5.0,0.5172413793103449,0.3333333333333333,19029.0,20116.0,Toronto Raptors,Cleveland Cavaliers,0.0,4.0,Wednesday,January,19874.0
2004-01-07 19:00:00,9.0,0.25,0.5569620253164557,13015.0,18624.0,Boston Celtics,Orlando Magic,0.0,0.0,Wednesday,January,13286.0
2004-01-07 19:00:00,8.0,0.4705882352941176,0.569620253164557,18337.0,20965.0,Philadelphia 76ers,Los Angeles Clippers,0.0,2.0,Wednesday,January,18622.0
2004-01-07 19:30:00,2.0,0.3939393939393939,0.3380281690140845,14453.0,20213.0,Miami Heat,Chicago Bulls,0.0,3.0,Wednesday,January,14413.0
2004-01-07 21:00:00,5.0,0.4375,0.7173913043478259,19936.0,20677.0,Dallas Mavericks,Golden State Warriors,0.0,0.0,Wednesday,January,20185.0
2004-01-07 21:00:00,4.0,0.7,0.527027027027027,15120.0,19812.0,Denver Nuggets,Los Angeles Lakers,0.0,1.0,Wednesday,January,19739.0
2004-01-08 21:30:00,2.0,0.4642857142857143,0.625,20095.0,20391.0,Minnesota Timberwolves,Portland Trail Blazers,0.0,1.0,Thursday,January,15599.0
2004-01-09 19:00:00,5.0,0.5,0.3333333333333333,19874.0,20116.0,Toronto Raptors,Los Angeles Clippers,0.0,4.0,Friday,January,18405.0
2004-01-09 19:30:00,9.0,0.30303030303030304,0.5569620253164557,13286.0,18624.0,Boston Celtics,Cleveland Cavaliers,0.0,2.0,Friday,January,18624.0
2004-01-09 20:00:00,5.0,0.71875,0.7173913043478259,20185.0,20677.0,Dallas Mavericks,Indiana Pacers,0.0,5.0,Friday,January,20315.0
2004-01-09 20:30:00,17.0,0.4827586206896552,0.5833333333333334,16720.0,23067.0,Chicago Bulls,Portland Trail Blazers,0.0,1.0,Friday,January,19491.0
2004-01-09 21:00:00,4.0,0.5161290322580645,0.527027027027027,19739.0,19812.0,Denver Nuggets,Utah Jazz,0.0,2.0,Friday,January,19402.0
2004-01-09 22:30:00,13.0,0.7333333333333333,0.725,17259.0,18422.0,Phoenix Suns,Sacramento Kings,0.0,4.0,Friday,January,16848.0
2004-01-09 22:30:00,5.0,0.7096774193548387,0.7209302325581395,18997.0,18997.0,Los Angeles Lakers,Atlanta Hawks,0.0,2.0,Friday,January,18997.0
2004-01-10 19:00:00,3.0,0.3225806451612903,0.4657534246575342,12073.0,20173.0,Washington Wizards,Philadelphia 76ers,0.0,2.0,Saturday,January,17146.0
2004-01-10 20:00:00,2.0,0.71875,0.625,15599.0,20391.0,Minnesota Timberwolves,Miami Heat,0.0,4.0,Saturday,January,17026.0
2004-01-10 20:30:00,4.0,0.6764705882352942,0.7173913043478259,16413.0,19034.0,San Antonio Spurs,Indiana Pacers,0.0,4.0,Saturday,January,18797.0
2004-01-10 21:00:00,4.0,0.53125,0.5569620253164557,19911.0,19911.0,Utah Jazz,Atlanta Hawks,0.0,2.0,Saturday,January,19911.0
